0,1,2,3,4,5,6,7,8,9,10,11,12,13
"S/ 2,950",S/ 250 Mantenimiento,AV SALAVERRY 20,"Jesús María, Lima",120 m²,120 m²,3 dorm.,3 baños,"Alquilo Departamento 120 m2 3 Hab 1 Piso con Balcon Vista a La Calle SalaverryAlquilo amplio departamento excelente ubicacion frente A la universidad pacifico, en la av salaverry cuadra 20 A unas cuadras de real plaza salaverry, colegios, bancos, etc. Departamento cuenta con sala comedor amplia ventilada E iluminada con balcon vista A la calle. cocina con muebles altos Y bajos area de lavanderia. 3 habitaciones amplias todas ingresan camas amplias mas escritorio cuenta con closet, dormitorio principal con jacuzzi. cuarto Y baño de servicio. departamento en 1 piso. mayor informacion llamar giannina huarcaya 9. 6. 6. 3. 5. 9. 4. 2. 4",Super destacado,Comparar,Contactar,,
"S/ 2,100",S/ 1 Mantenimiento,Pueblo libre Nicolás Alcázar,"Pueblo Libre, Lima",130 m²,130 m²,3 dorm.,2 baños,"Alquiler de Amplio Dpto 3hab/ 2baños en Pueblo LibreAlquiler de Dpto captado en Pueblo libre en segundo piso, con puerta principal de vidrio y rejas y puerta de servicio de madera. Precio: S/. 2100. Area: 130 mts. No cuenta con ascensor. No tiene cochera. Tiene sala comedor amplios con vista panorámica, piso de parquet y cortinas de pared a pared. Tiene cocina con muebles altos y bajos piso de porcelanato importado. Cuenta con 3 Dormitorios. El principal tiene un hermoso baño incorporado de porcelanato importado con adornos azulino, blanco y gris tanto las paredes como el piso cuenta con ducha. Tiene un closets de 3 Cuerpos con cajonería. Tiene 2 dormitorios con closets amplios y un baño completo con ducha que comparten piso de porcelanato importado haciendo juego con paredes y juego de sanitarios. Tiene área de lavandería y tiene terma.",Super destacado,Comparar,Contactar,,
"S/ 2,900",(USD 750),S/ 1 Mantenimiento,Jirón Cuzco 1056,"Pando Etapa Iv, San Miguel",180 m²,180 m²,4 dorm.,3 baños,"Hermoso Departamento en El Corazón de San MiguelUbicado en el 4to Piso. Ubicación privilegiada cerca a zonas comerciales, colegios, universidades. Perfecto para familias: Cuenta con 4 dormitorios y 3 baños completos. Adicionalmente cuenta con 1 cuarto de servicio con baño completo. No cuenta con cochera; sin embargo en la misma cuadra se puede alquilar una. No cuenta con Ascensor",Super destacado,Comparar,Dueño directo,Contactar
"S/ 2,600",(USD 680),S/ 120 Mantenimiento,"Calle Oliva Fidel Escudero, san miguel","Pando, San Miguel",110 m²,110 m²,3 dorm.,2 baños,"Alquiler de Departamento en San Miguel - Calle Oliva Fidel EscuderoVive en el corazón de San Miguel a 1 cuadra del C. C. Plaza San Miguel, Super Mercado Metro, Colegio Claretiano, tiendas, restaurantes, bancos y farmacias. Hermoso departamento amplio, iluminado, impecable, listo para mudarse. Piso 9 - Pen House. - Cocina amoblada – reposteros altos y bajos. - Sala – Comedor. - 3 dormitorios. - Dormitorio Principal con baño incluido. - 02 dormitorios secundarios que comparten un baño completo. - Terraza – bbq. - Espacio techado para deposito. - Área de Lavandería. - Ascensor. claudia raimondi. Ver datos",Destacado,Comparar,Contactar,
"S/ 2,600",(USD 685),S/ 30 Mantenimiento,Francisco Masias Lince,"San Eugenio, Lince",220 m²,120 m²,3 dorm.,1 baño,"Alquiler de Amplio Departamento con 3 Habitaciones, en La Mejor Zona de LinceDescripción: Alquilo hermoso y amplio departamento ubicado en un 3er piso con vista exterior, calle Francisco Masias, distrito de Lince límite con San Isidro, frente a un hermoso parque con juegos para niños, a solo una cuadra de la Avenida Javier Prado Este, cerca a centros comerciales, mercados, colegios, y principales avenidas con acceso a todos los paraderos de buses, a pocas cuadras del centro financiero de San Isidro. Detalles adicionales: Este hermoso dpto cuenta con 120 mt2, 3 habitaciones sumamente amplias con Walk in closet, sala comedor, cocina, 2 baños completos, además cuenta con una amplia terraza en el 4to nivel donde se encuentra el área de lavandería y tendal con un baño de servicio. El dpto se encuentra semi amoblado, cuenta con camas, un bar, ropero y algunos otros muebles adicionales. Mayor información al 9-9-5-6-4-7-3-6-4 Nelly Uribe agente inmobiliario de Molinmuebles",Destacado,Comparar,Contactar,
"S/ 2,800",(USD 725),S/ 190 Mantenimiento,Victor Pantoja 446,"Pueblo Libre, Lima",105 m²,106 m²,4 dorm.,3 baños,1 estac.,"Se Alquila Departamento Al Costado de Parque San Martin** agente encargado ** emma melgarejo 9. 9. 6. 2. 6. 7. 8. 2. 0. ** se alquila hermoso departamento en zona tranquila, rodeada de parques Y cerca A la caseta de serenazgo, Buena Zona tranquila, rodeada de tres parques, media cuadra de caseta de Serenazgo de Parque San Martin, Dos cuadras del Hospital Santa Rosa, Av. Bolivar, Av. Sucre y cerca al Mercado de Pueblo libre, Colegios, Panaderías Centros comerciales, y Super Markers. Departamento de 7 pisos (dos departamentos por piso) • Departamento Vista Externa en 4to piso en Pueblo Libre. • Cuenta con Ascensor. • Departamento cuenta con: • Sala / Comedor. • Cocina amplia con muebles altos y bajos. • 3 Dormitorios con walking closet. • 3 baños. • 1 cuarto de servicio. • Cuenta con cochera techada. Alquiler 2, 800 soles. Mantenimiento 190 soles aproximados. Arbitrios 50 soles mensuales",Destacado,Comparar,Contactar
"S/ 2,100",AV ARICA 134,"San Miguel, Lima",103 m²,97 m²,3 dorm.,2 baños,"Alquiler de Departamento en San MiguelContacto: santa cruz buendía yieny kennith. cell: 9*8*6*9*8*7*3*4*6. ¡excelente ubicación! Departamento en alquiler - san miguel ¿Te imaginas generar nuevas experiencias familiares en la intimidad de tu departamento? Si eres de las que aprecian las áreas verdes, parques, ambientes ventilados e iluminados y te encuentras buscando un departamento en una zona céntrica, tranquila y segura … ¡este es el departamento ideal para ti! Estratégicamente ubicado a pocas cuadras de la av. Sucre, Bertolotto Municipalidad San miguel, con vías de acceso, cerca de Centros Comerciales, colegios. Te invito a visitar este acogedor Departamento de 103. 20 m2 en 1er piso. -Distribución de este hermoso departamento: -Cocina amplia con respectivos muebles altos y bajos. -Sala comedor amplia e iluminada. -Baño de visita. - 1 habitación principal completo, closet y vista externa e iluminación natural. - 3 habitaciones secundarias. - 1 baño. - Zona de lavandería. - Ubicado en 1er Piso. -No aceptan mascotas. Este Departamento es ideal para una familia que ama la naturaleza, practica algún deporte porque tiene ideales para hacer ejercicio al aire libre y que valora la seguridad, los 7 días de la semana, no te gusta subir escaleras en un primer piso es ideal para ti. ¡Disponible a partir del 27 de Febrero! ¿Quieres saber más? ¡Contáctame antes que te ganen. contacto: santa cruz buendía yieny kennith. cell: 9*8*6*9*8*7*3*4*6. id: 1*0*3*5*8*9*4",Destacado,Comparar,Contactar,,,
"S/ 2,600",(USD 667),S/ 100 Mantenimiento,pasaje ayulo 139,"Jesús María, Lima",110 m²,110 m²,3 dorm.,2 baños,"Departamento Amplio Segundo Piso, Casa, Oficina, ConsultorioSe alquila amplio departamento, completamente refaccionado zonificación comercial zonal, 110 metros cuadrados, 3 dormitorios, 2 banos completos sala, comedor, cocina, patio-lavandería, tiene dos ingresos, como casa habitación, oficina, o consultorios, a 50 metros de la Av Brasil altura cuadra 12, cerca de Bancos, comercios, supermercados, colegios transporte publico, y centros de salud.",Destacado,Comparar,Contactar,
"S/ 2,500",S/ 180 Mantenimiento,"San Miguel, Lima",130 m²,130 m²,3 dorm.,2 baños,1 estac.,"Alquilo Triplex de 130 m2Acogedor Triplex de 130 m2. Ubicado a pocas cuadras de la Av. Sucre, cerca de la Avenida la Marina a pocas cuadras del Mercado de Magdalena del Mar, perfecta ubicación comercial, cerca de centros comerciales y colegios. Consta de: - 7 años de antigüedad. - Edificio seguro con cámaras y recepción. - Ubicado en el 5to, 6to, 7mo piso. - Pisos de porcelanato. - Cochera con control remoto independiente. * 5 Piso. -Amplia sala, comedor muy iluminado. - Cocina con muebles altos y bajos y campana extractora. * 6 piso. - 01 dormitorio principal con closet y baño completo. - 01 dormitorio secundario con closet. - 01 dormitorio amplio para cama de 2 plaza. - 01 baño completo para dormitorio secundario. *7 piso. - Terraza amplia. - Lavandería iluminada. - Aceptan mascota",Destacado,Comparar,Dueño directo,Contactar,
"S/ 2,400","(USD 195,000)",S/ 340 Mantenimiento,BOLIVAR 140,"San Miguel, Lima",102 m²,102 m²,3 dorm.,2 baños,1 estac.,"Venta /alquiler Departamento 102 m2 3 Hab 1 Est Jr Bolivar San Miguel BertolottoContacto: marcela parrao 9. 8. 7. 3. 7. 8. 9. 7. 5. En venta moderno departamento ubicado en Jr. Bolivar 140, San Miguel. Se encuentra a solo una cuadra del Malecón Bertolotto, Municipalidad de San Miguel, Parque Media Luna. A pocas cuadras de avenidas principales como Universitaria, Sucre, Costa Verde. A pocas cuadras del Mercado de Magdalena, bancos, farmacias, restaurantes, colegios, parques. El departamento 102 m2. Se encuentra en piso 13, cuenta con 3 ascensores, vigilancia las 24 horas del día. Consta de: Amplia sala comedor con balcón y agradable vista a la ciudad y al mar. Los pisos son laminados, cambiados recientemente. 3 habitaciones espaciosas con closets y ventanas anti ruido. 2 baños completos (uno dentro del dormitorio principal) Cocina cerrada con muebles altos y bajos. Tiene gas natural. Lavandería independiente. 1 estacionamiento. Áreas comunes: salón social, parrilla, gimnasio. Precio venta $ 195, 000 dólares. Precio alquiler S/. 2. 400. Mantenimiento S/. 340, incluye consumo de agua. Documentación en regla. No tiene cargas.",Destacado,Comparar,Contactar
